yearID,teamID,total_spent
2012,ARI,1021981728
2005,ATL,1066670401
2007,BAL,1063822256
2004,BOS,1003387384
2008,CHA,1071662366
2007,CHN,1080734894
2010,CIN,1062002636
2009,CLE,1058681597
2011,COL,1046028497
2009,DET,1111487528
2008,HOU,1028389243
2012,KCA,1022781168
2013,LAA,1062683436
2005,LAN,1076794478
2014,MIL,1048161053
2011,MIN,1017052124
2003,NYA,1062696966
2005,NYN,1035430662
2012,OAK,1054013553
2008,PHI,1029099902
2012,SDN,1036228762
2007,SEA,1035437940
2007,SFN,1041981288
2007,SLN,1065250179
2007,TEX,1041360933
2008,TOR,1054317853
